# GoalTracker 财报跟踪
股票代码,公司名称,行业,板块,林奇类型,披露日期,报告期,季度,营业收入,营收同比,毛利润,净利润,扣非净利润,扣非净利同比,经营现金流,销售收现,资本开支,ROE,毛利率,预期营收,预期净利,预期营收同比,预期净利同比
603316.SH,诚邦股份,电子,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,3.4162522886,65.1564335356,0.315,0.2239955373,0.13474909599999998,219.225459923946,-0.3351708597,4.5918,0.0691,4.15,9.2210869891,10.03,1.02,99.179660572259,185.285570538426
603185.SH,弘元绿能,电力设备,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,42.8270056291,32.6493777668,2.2297,-6.7933129277,-4.8432292698,-36.193776466771,1.281348069,38.3596,9.2088,-5.74,5.206363032,107.85,1.94,45.243038173863,3.833257769331
605366.SH,宏柏新材,基础化工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,8.4702813011,15.8515098724,0.5463,-0.3048549703,-0.4294762721,-31.756111929115,-0.2710977485,5.4456,0.6956,-1.28,6.4500647036,18.7644,0.1257,34.983819986527,108.622395827742
605100.SH,华丰股份,机械设备,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,4.9510982698,32.5846067785,0.7288,0.1892082937,0.1698217718,47.022712864904,-0.6501477257,1.1632,0.0202,1.05,14.7198846596,11.82,0.72,48.973866549607,215.982549138719
603399.SH,永杉锂业,有色金属,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,43.6656705679,82.5820580695,5.3861,1.9779394603,2.9016093173,277.274405191334,-2.7774441554,47.637,0.3637,12.49,12.3348230494,,,,
605123.SH,派克新材,国防军工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,22.3694096806,25.8182520382,4.6295,1.9889098450999998,1.8524493491,9.461558806623,1.254324134,19.3408,4.5894,4.27,20.695845578,43.658,3.888,23.22814710933,54.056831268987
605168.SH,三人行,传媒,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.8056745541,19.547296022,3.2328,0.7886281026,1.2829454927,1.293649575797,0.31913728350000004,20.4642,0.0063,2.88,16.3228051903,41.2375,2.665625,12.526707858452,40.343120139017
603126.SH,中材节能,环保,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,18.000120198199998,49.189929146,2.5623,0.0446431662,0.026360347599999997,110.267048365772,-3.8896355012,11.6124,2.6496,0.2186,14.2347988329,,,,
600516.SH,方大炭素,钢铁,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,19.7054681699,16.5795801532,2.3864,1.7094462883000001,0.1009863268,21.002433270228,0.290431665,20.5957,5.0961,1.0357,12.1104577365,38.29,0.93,8.576969553978,-0.045388067298
605016.SH,百龙创园,基础化工,上交所主板A股,,2026-08-31,2026-06-30,2026Q2,7.5946345152,16.9867900171,3.3207,2.1063566621,2.1098126508,26.289006007637,4.4105953069,7.877,2.8486,9.92,43.7242882927,17.1344933333333,4.8528,24.248196370968,31.672687806684
